layer,x,z
0,0.0,0.0
0,200.1,0.0
1,0.0,3.0
1,15.0,3.0
1,50.0,0.5
1,78.0,0.5
1,100.0,2.0
1,134.0,3.0
1,140.0,0.5
1,150.0,0.5
1,170.0,1.8
1,200.1,2.0
2,0.0,6.0
2,80.0,5.5
2,135.0,5.5
2,200.1,6.0
3,0.0,12.0
3,60.0,11.0
3,130.0,11.0
3,200.1,12.0
4,0.0,16.0
4,110.0,15.0
4,140.0,16.0
4,200.1,16.0
5,0.0,21.06
5,49.04,21.79
5,68.46,21.98
5,121.11,22.53
5,143.49,23.05
5,153.37,23.05
5,200.1,23.49
6,0.0,25.49
6,50.68,25.93
6,69.11,26.26
6,87.87,26.82
6,135.26,26.6
6,200.1,27.93
7,0.0,31.0
7,100.0,32.0
7,119.14,30.81
7,136.25,30.64
7,149.09,31.58
7,164.88,32.52
7,200.1,33.19
