layer,x,z
0,0.0,0.0
0,140.0,0.0
1,0.0,0.5
1,15.0,1.0
1,30.0,1.5
1,43.59,0.84
1,50.0,0.5
1,54.52,0.5
1,60.0,0.5
1,72.79,0.19
1,77.67,0.01
1,87.0,0.01
1,100.0,1.0
1,115.0,0.7
1,120.0,0.7
1,140.0,0.7
2,0.0,5.5
2,50.0,5.5
2,75.79,4.34
2,80.55,0.58
2,83.05,0.58
2,84.68,2.16
2,105.0,3.05
2,140.0,4.87
3,0.0,10.35
3,18.38,10.04
3,26.49,10.44
3,28.79,10.46
3,33.47,10.43
3,35.62,10.48
3,48.33,10.88
3,54.68,11.88
3,62.17,12.14
3,71.25,11.5
3,81.0,10.34
3,89.63,10.06
3,107.33,10.87
3,140.0,13.04
4,0.0,17.76
4,43.11,16.74
4,55.14,15.77
4,63.31,14.78
4,72.16,14.06
4,81.0,13.79
4,88.04,13.66
4,96.43,13.69
4,106.65,14.7
4,140.0,16.74
5,0.0,23.77
5,33.58,22.75
5,52.41,21.83
5,66.03,21.47
5,82.82,21.69
5,94.85,22.24
5,107.1,23.13
5,114.81,23.26
5,118.22,23.39
5,122.76,23.51
5,140.0,24.54
6,0.0,27.0
6,55.0,26.0
6,100.0,29.0
6,140.0,29.0
7,0.0,30.0
7,55.0,31.0
7,100.0,34.0
7,140.0,34.0
