lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-5.9669,54.95836,dias2014dokj,-5.96781504412,54.9628418191
-5.97031,54.96661,dias2014vgqz,-5.96781504412,54.9628418191
-5.96917,54.96617,dias2014vgtx,-5.96781504412,54.9628418191
-6.02229,54.68123,dias2014doip,-6.019892,54.679804
-5.89339,54.81251,dias2014udln,-5.888429,54.812691
-5.88778,54.80911,dias2014vdbz,-5.888429,54.812691
-6.61551,54.30718,dias2014gjkf,-6.614601,54.305642
-6.61737,54.30489,dias2014pqpb,-6.614601,54.305642
-6.61528,54.30775,dias2014yqlg,-6.614601,54.305642
-6.58683,54.25034,dias2013vpzv,-6.586716,54.251849
-6.93183,52.77167,dias2013vvjl,-6.93379,52.776182
-7.33657,53.92359,dias2014spgr,-7.338987,53.9213
-7.69194,54.17714,dias2014kybc,-7.69394,54.1742
-8.65417,52.73062,dias2014oedt,-8.65228,52.729152
-8.6534,52.73063,dias2014qknl,-8.65228,52.729152
-8.70288,52.8754,dias2013mzmj,-8.698416,52.874378
-8.69569,52.87589,dias2014phvb,-8.698416,52.874378
-8.69587,52.87571,dias2014qkys,-8.698416,52.874378
-8.69646,52.87593,dias2014rgzd,-8.698416,52.874378
-8.82053,52.19708,dias2013syhn,-8.82101110425,52.1965747104
-8.81655,52.19557,dias2014hmoe,-8.82101110425,52.1965747104
-8.81926,52.19982,dias2014plgs,-8.82101110425,52.1965747104
-6.82838,54.99194,dias2014qdjt,-6.825908,54.992325
-6.60435,54.81727,dias2014bclm,-6.60360506362,54.8156715295
-6.60805,54.81416,dias2014xsss,-6.60360506362,54.8156715295
-7.43626,55.11326,dias2013mkmh,-7.440131,55.11625
-7.442,55.1135,dias2014vruw,-7.440131,55.11625
-7.88836,54.98185,dias2014lflj,-7.890135,54.978291
-7.95567,55.13367,dias2013usaf,-7.957837,55.13581
-7.955,55.1345,dias2014rwxq,-7.957837,55.13581
-7.70717,55.15283,dias2014ixcx,-7.711901,55.154214
-7.81789,55.07011,dias2013wwwg,-7.820291,55.072081
-6.2249,54.3636,dias2014hmma,-6.221279,54.36129
-5.8599,54.49512,dias2014utxe,-5.863787,54.495758
-5.86155,54.49302,dias2014yqpv,-5.863787,54.495758
-5.78424,54.56359,dias2014ydto,-5.784454,54.562842
-5.76424,54.61431,dias2014ivim,-5.760448,54.617476
-5.76136,54.61451,dias2014wuwe,-5.760448,54.617476
-5.73176,54.61351,dias2013rrny,-5.729835,54.609936
-6.19357,54.19888,dias2013sren,-6.19227970366,54.1963342501
-6.19705,54.19535,dias2014wntd,-6.19227970366,54.1963342501
-5.80448,54.43747,dias2014veww,-5.801593,54.438204
-6.40088,53.30539,dias2014ddnd,-6.403263,53.3019
-6.40311,53.2991,dias2014jaxg,-6.403263,53.3019
-6.40002,53.30508,dias2014qxnm,-6.403263,53.3019
-6.40692,53.30061,dias2014swrq,-6.403263,53.3019
-6.40457,53.2972,dias2014uvvr,-6.403263,53.3019
-6.41996,53.24029,dias2014arlc,-6.417389,53.238387
-7.64515,54.51669,dias2014awzk,-7.642142,54.519056
-7.64193,54.51982,dias2014llbm,-7.642142,54.519056
-7.64062,54.52088,dias2014vtrt,-7.642142,54.519056
-8.70404,53.27106,dias2014pwac,-8.701093,53.267091
-8.9509,53.47854,dias2013selh,-8.951628,53.481412
-6.86183,53.22938,dias2014fyoz,-6.865248,53.231042
-7.02021,53.40998,dias2013uiye,-7.017444,53.41148
-7.70871,52.85052,dias2014ymuu,-7.71012685174,52.8477304636
-8.22442,54.3212,dias2014ollz,-8.228032,54.322582
-8.13291,54.30471,dias2013nwus,-8.134161,54.300617
-8.73834,52.44976,dias2013uvrs,-8.735406,52.450268
-6.36096,53.80051,dias2014rczb,-6.362562,53.79811
-6.398,53.68656,dias2013pxvh,-6.397679,53.68281
-6.39562,53.68269,dias2014vrut,-6.397679,53.68281
-9.87249,54.1806,dias2014pshs,-9.87032,54.179085
-8.79355,53.84307,dias2013txzc,-8.7929,53.842031
-6.85784,53.43964,dias2014rery,-6.856989,53.442633
-6.72517,53.94083,dias2014exea,-6.722476,53.937724
-7.87352,53.12944,dias2014axbp,-7.876688,53.126712
-8.52765,54.21526,dias2013slvq,-8.525902,54.214649
-8.01896,52.76546,dias2013puct,-8.015947,52.768345
-8.24673,52.6727,dias2014mfgj,-8.246021,52.673053
-8.24188,52.67346,dias2014rxis,-8.246021,52.673053
-7.72045,52.56826,dias2014nypa,-7.722019,52.568775
-7.72102,52.56779,dias2014rgmd,-7.722019,52.568775
-7.72043,52.57188,dias2014wcpy,-7.722019,52.568775
-6.0789,54.40323,dias2014fuvl,-6.078039,54.401662
-6.07478,54.39819,dias2014pvyp,-6.078039,54.401662
-6.07432,54.39934,dias2014suwq,-6.078039,54.401662
-7.51173,54.59083,dias2013tdvl,-7.513353,54.594265
-7.50878,54.59627,dias2013xwkr,-7.513353,54.594265
-7.51417,54.59407,dias2014tsly,-7.513353,54.594265
-6.88973,54.67292,dias2014ccan,-6.88735,54.674623
-7.21541,54.48063,dias2013xhtz,-7.2121,54.479919
-7.14035,53.43752,dias2013puik,-7.138017,53.434092
-7.13664,53.43187,dias2014dkvw,-7.138017,53.434092
-7.13625,53.43753,dias2014youk,-7.138017,53.434092
-6.55871,52.47195,dias2013wemg,-6.557721,52.469509
