lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-6.59969,54.31406,dias2013qvol,-6.634998,54.38377
-6.59969,54.31406,dias2013qvol,-6.582737,54.238074
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-6.70759,53.91484,dias2013yoqm,-6.722476,53.937724
-6.70759,53.91484,dias2013yoqm,-6.731963,53.901612
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-6.8399,54.72009,dias2014kwms,-6.796975618,54.6723585214
-6.8399,54.72009,dias2014kwms,-6.83150188653,54.7513903017
-6.8399,54.72009,dias2014kwms,-6.88735,54.674623
-6.8399,54.72009,dias2014kwms,-6.81318701403,54.738700688
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.93859,54.50089,dias2014rrpl,-5.863787,54.495758
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
