,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
83,dias2013ounh,2013-07-30,10:56:29.388,54.11401,0.847,-8.17115,1.37,0.0,0.451,77.3,36,1.18
102,dias2013psgr,2013-08-12,10:51:10.146,54.82306,2.148,-6.06838,1.228,0.0,0.612,105.1,25,1.24
124,dias2013qvsa,2013-08-28,13:32:30.950,52.89928,1.061,-9.06385,1.245,0.0,0.316,93.1,35,1.3
130,dias2013qxms,2013-08-29,13:07:57.382,53.37685,1.126,-9.19604,1.019,0.0,0.481,86.4,42,1.17
137,dias2013rlzk,2013-09-06,11:26:58.830,54.5862,1.844,-5.78568,1.187,0.0,0.864,83.3,23,1.08
139,dias2013rmcr,2013-09-06,13:05:35.433,53.79102,0.771,-7.72047,0.958,0.0,0.636,48.9,56,1.38
140,dias2013rmct,2013-09-06,13:07:39.723,53.79372,1.01,-7.7045,1.232,0.0,0.494,90.0,35,1.23
141,dias2013rrkw,2013-09-09,10:54:07.313,54.88547,2.78,-6.28009,1.447,0.0,0.396,148.2,21,0.91
142,dias2013rrls,2013-09-09,11:19:54.672,53.73794,0.808,-7.11559,1.101,0.0,0.397,61.4,55,1.28
144,dias2013rrny,2013-09-09,12:28:12.343,54.61351,2.327,-5.73176,1.554,0.0,0.517,103.0,16,1.18
145,dias2013rrpj,2013-09-09,13:11:02.092,52.35267,1.055,-9.77242,2.083,0.0,0.419,140.6,24,1.23
146,dias2013rrqx,2013-09-09,13:57:19.605,54.17544,0.88,-7.62014,1.206,0.0,0.314,49.5,44,1.5
149,dias2013rtkg,2013-09-10,12:52:05.358,55.10579,1.258,-7.43027,1.412,0.0,0.446,110.0,34,0.95
150,dias2013rtkq,2013-09-10,13:04:21.802,51.82265,1.382,-8.4639,1.262,0.0,0.726,125.9,33,1.54
151,dias2013rtld,2013-09-10,13:19:38.321,54.51592,0.991,-7.65635,1.55,0.0,0.407,99.8,36,0.88
152,dias2013rtnn,2013-09-10,14:31:58.410,52.54602,1.091,-7.83602,1.031,0.0,0.404,67.5,39,1.47
153,dias2013rvam,2013-09-11,10:12:31.349,54.81395,1.98,-5.90898,1.21,0.0,0.469,94.2,29,1.32
154,dias2013rvbq,2013-09-11,10:47:40.111,52.57035,1.112,-9.05711,1.219,0.0,0.511,96.9,36,1.48
155,dias2013rvco,2013-09-11,11:14:59.580,54.02964,0.941,-6.84655,1.336,0.0,0.439,74.7,46,1.27
156,dias2013rvfe,2013-09-11,12:34:22.833,55.06705,1.675,-7.81982,1.133,0.0,0.395,128.2,42,0.68
157,dias2013rvgi,2013-09-11,13:10:14.213,53.68787,1.031,-6.36408,1.352,0.0,0.53,54.7,39,1.35
158,dias2013rvhm,2013-09-11,13:44:41.773,53.48571,1.509,-9.90927,2.895,0.0,0.362,204.6,21,1.08
163,dias2013rxdn,2013-09-12,14:00:58.464,52.59401,1.355,-7.19259,1.059,0.0,0.379,69.2,35,1.36
164,dias2013rxjf,2013-09-12,16:53:44.371,52.87343,1.063,-8.69291,1.137,0.0,0.408,76.2,33,1.3
165,dias2013rxji,2013-09-12,16:56:37.274,52.8736,1.115,-8.69264,1.369,0.0,0.46,76.2,28,1.09
166,dias2013ryva,2013-09-13,11:59:47.756,53.84846,0.929,-8.78973,1.243,0.0,0.355,94.8,38,1.05
168,dias2013ryzl,2013-09-13,14:13:41.821,53.81445,0.713,-8.0502,1.013,0.0,0.325,74.9,60,1.42
169,dias2013seet,2013-09-16,10:35:31.212,53.21238,1.656,-6.90608,1.157,0.0,0.446,90.4,21,1.25
170,dias2013selh,2013-09-16,13:53:46.847,53.47854,1.704,-8.9509,1.367,0.0,0.447,101.5,19,1.53
171,dias2013selt,2013-09-16,14:07:36.555,53.18736,2.676,-6.54574,1.552,0.0,0.502,142.7,16,0.72
172,dias2013sger,2013-09-17,12:49:27.304,52.76349,1.595,-6.1253,1.643,0.0,0.293,140.9,23,1.28
