closest-ev_id,quarry-lat,quarry-lon,origin_time,mag,sta,closest-time,count
dias2013kwhe,54.3797,-7.378597,2013-06-04 11:58:42.744,1.29,"['D34', 'DL31', 'IDGL', 'UCRUI']","[13.873, 10.696, 13.043, 16.183]",5
dias2013kwks,52.8995,-9.038942,2013-06-04 13:45:39.377,1.56,"['IA002', 'IA009', 'IAD01', 'UCAR3', 'UD10', 'UGAL1', 'VAL']","[27.592, 18.393, 3.43, 12.756, 35.399, 24.536, 22.427]",5
dias2013kwle,53.4341,-7.138017,2013-06-04 14:00:17.523,1.18,['UCD11'],[10.823],5
dias2013kwlj,52.5985,-7.200083,2013-06-04 14:05:07.330,1.16,"['DSB', 'UHELL']","[15.376, 15.765]",5
dias2013kwls,53.3092,-9.007666,2013-06-04 14:16:21.183,1.71,"['DSB', 'IA009', 'IA013', 'IAD01', 'IGLA', 'UCAR2', 'UD01', 'UD02']","[28.79, 10.624, 21.342, 10.326, 4.683, 10.139, 29.416, 29.229]",5
dias2013kybz,52.1974,-8.819633,2013-06-05 11:37:13.763,1.38,"['IA005', 'IA007', 'IAD01']","[4.861, 16.329, 13.338]",5
dias2013kyeq,53.4975,-6.834651,2013-06-05 12:58:10.143,1.41,"['DL31', 'UCD11', 'UD01', 'UD06', 'UD08', 'UD09', 'UD10', 'UMOLE', 'USUGA']","[27.717, 6.835, 28.676, 27.73, 28.77, 27.795, 27.533, 7.682, 9.95]",5
dias2013kygm,54.969,-6.612732,2013-06-05 13:53:58.922,1.34,"['DL21', 'DL31', 'GAL1', 'IA011', 'IDGL', 'UD01', 'UD03', 'UD04', 'UD08', 'UD10']","[11.624, 9.567, 20.387, 19.392, 10.048, 17.386, 17.842, 19.06, 17.029, 17.361]",5
dias2013kzxl,54.6798,-6.019892,2013-06-06 11:36:17.099,1.25,"['DL12', 'DL23', 'DSB', 'ESK', 'UD06', 'UD09', 'UMOLE']","[19.388, 17.918, 26.238, 31.401, 24.357, 21.427, 26.812]",4
dias2013kzxr,54.1742,-7.69394,2013-06-06 11:42:58.299,1.17,"['UCRUI', 'UD09']","[16.951, 13.794]",4
dias2013kzzd,54.1939,-9.242224,2013-06-06 12:27:46.592,1.04,"['IGLA', 'UBRO', 'UCAR1', 'UCAR3', 'UD01', 'UD02', 'UD03', 'UD04', 'UD10']","[14.884, 7.641, 18.397, 18.559, 17.124, 16.847, 17.594, 17.041, 16.237]",5
dias2013lhhf,54.144379,-7.598981,2013-06-10 12:29:55.623,1.61,"['DL23', 'IA001', 'IAD23', 'UBALL', 'UCD11', 'UD04', 'UD10', 'USUGA']","[18.605, 25.983, 26.43, 22.294, 22.07, 16.481, 14.087, 24.194]",5
dias2013lhin,53.4531,-8.149778,2013-06-10 13:08:28.584,1.39,"['IA010', 'IWEX', 'UCAR3', 'UD01', 'UD02', 'UD07', 'UD10', 'USLID']","[13.034, 25.59, 20.241, 25.851, 26.046, 25.427, 25.231, 22.492]",5
dias2013ljds,54.3701,-7.692768,2013-06-11 12:59:59.623,1.33,"['IA011', 'IAD01', 'UCAR3']","[14.08, 34.43, 29.995]",3
dias2013ljec,52.4503,-8.735406,2013-06-11 13:11:21.910,1.24,"['IA006', 'IA012', 'IA013', 'IAD01', 'IAD18', 'IAD23', 'IAD38', 'IGLA', 'IWEX', 'UCAR1', 'UCAR2', 'UCAR3', 'VAL']","[2.453, 23.927, 21.538, 9.84, 22.861, 10.779, 14.159, 19.51, 22.034, 20.051, 20.952, 20.772, 19.555]",5
dias2013ljhj,52.2887,-7.182943,2013-06-11 14:50:20.378,1.36,"['IA004', 'IA007', 'IA010', 'IA013', 'IAD23', 'UHELL', 'USLID']","[23.74, 3.611, 25.465, 15.804, 11.604, 20.409, 20.944]",5
dias2013lmtr,52.477,-8.083588,2013-06-13 12:27:30.692,1.22,"['DSB', 'IA010', 'IA012', 'IA013', 'IAD18', 'IAD23', 'IGLA', 'IWEX', 'UCAR3', 'UMOLE']","[23.756, 24.805, 16.985, 15.725, 21.823, 5.195, 22.762, 15.844, 25.026, 23.578]",5
dias2013lmvk,54.6118,-8.090259,2013-06-13 13:20:55.836,0.87,"['DL12', 'DL31', 'IA009', 'IA011', 'IGLA', 'UCAR3', 'UD04']","[12.716, 9.088, 17.303, 9.079, 26.265, 30.449, 6.563]",5
dias2013lmvt,53.8605,-9.273528,2013-06-13 13:30:55.184,1.28,"['IA002', 'IAD01', 'IAD18', 'UD06']","[13.089, 19.946, 12.319, 19.639]",5
dias2013lnce,52.8744,-8.698416,2013-06-13 16:45:10.990,1.22,"['IA003', 'IAD23']","[8.937, 9.36]",5
dias2013loop,54.5671,-8.121558,2013-06-14 12:10:18.539,1.16,"['CLGH', 'DSB', 'IA003', 'IDGL', 'IGLA']","[23.01, 30.096, 27.594, 11.815, 25.357]",5
dias2013lorg,53.3635,-9.177834,2013-06-14 13:30:14.818,1.26,['IA004'],[6.364],5
dias2013loui,54.2146,-8.525902,2013-06-14 15:03:38.028,1.45,"['D34', 'DL12', 'DL22', 'IA001', 'IA010', 'IA013', 'IAD01', 'IAD18', 'UCAR2', 'UD02', 'UD03', 'UD07']","[17.013, 21.442, 20.364, 16.545, 19.632, 26.142, 27.374, 11.714, 20.595, 12.958, 13.245, 12.671]",5
dias2013lxrf,55.1358,-7.957837,2013-06-19 11:42:59.512,1.14,"['CLGH', 'DL23', 'IA009', 'UD01', 'UD04', 'UD06']","[20.355, 5.41, 25.33, 5.754, 6.086, 8.174]",4
dias2013lxwq,52.7683,-8.015947,2013-06-19 14:27:01.841,1.07,"['IAD01', 'IWEX', 'UMOLE']","[15.788, 15.89, 20.63]",5
dias2013lzkc,54.1742,-7.69394,2013-06-20 10:23:27.818,1.13,"['IA009', 'UCAR3']","[15.388, 28.356]",5
dias2013lzra,53.7913,-9.285259,2013-06-20 13:53:18.312,1.18,"['IA009', 'IA011', 'IAD01', 'IGLA', 'UCAR1', 'UCAR3', 'UD01', 'UD02', 'UD04']","[4.068, 25.21, 19.287, 7.401, 11.135, 11.135, 23.148, 22.934, 23.329]",5
dias2013mbfq,53.9018,-7.63742,2013-06-21 10:24:46.419,0.88,"['IA009', 'IAD18', 'IGLA', 'UD06', 'UD07', 'UHELL']","[14.947, 8.596, 21.035, 17.649, 18.991, 19.816]",5
dias2013mbje,53.9418,-7.198614,2013-06-21 12:12:11.976,1.13,"['CLGH', 'DL24', 'IA002', 'IA004', 'IA012', 'IA013', 'IAD18', 'IAD33', 'IDGL', 'IGLA', 'IOMK', 'IWEX', 'UCAR3', 'UD01', 'UD07', 'UD09', 'UHELL', 'USUGA']","[24.138, 23.509, 16.239, 23.116, 23.352, 16.003, 12.742, 4.764, 21.544, 25.788, 28.696, 29.247, 30.583, 20.247, 21.112, 20.169, 16.829, 18.99]",3
dias2013mgwn,55.0751,-6.754293,2013-06-24 12:37:12.976,1.06,"['CLGH', 'IA002']","[7.092, 23.716]",5
dias2013miuu,53.4341,-7.138017,2013-06-25 14:01:46.842,1.11,"['IA010', 'IAD01', 'UD02', 'UD06']","[4.415, 26.745, 28.608, 27.051]",5
dias2013mklm,53.2384,-6.417389,2013-06-26 11:35:26.510,1.57,"['IA003', 'IA007', 'IA010', 'IAD18', 'UBALL', 'UCAR3', 'UCD11', 'UCREE', 'UD06', 'UMOLE', 'WLF1']","[17.001, 23.063, 11.279, 21.943, 1.846, 38.37, 2.22, 1.495, 32.403, 0.793, 22.296]",4
dias2013mkmh,55.1163,-7.440131,2013-06-26 11:59:55.615,1.01,"['CLGH', 'DL21', 'IAD33', 'UD01']","[14.299, 2.367, 18.336, 9.027]",5
dias2013mkmj,55.1163,-7.440131,2013-06-26 12:02:38.594,0.83,['IA011'],[9.578],5
dias2013mmkf,53.7981,-6.362562,2013-06-27 13:13:45.339,1.42,"['DSB', 'IOMK', 'UD01', 'UD02', 'UD04', 'UD07']","[10.558, 21.331, 27.598, 28.48, 29.312, 28.186]",5
dias2013mmlh,52.6166,-7.178395,2013-06-27 13:45:40.717,1.26,"['IA007', 'IA009', 'IAD01']","[8.703, 30.501, 24.642]",5
dias2013mnvk,55.0883,-7.40528,2013-06-28 08:01:01.755,0.96,"['D34', 'DL12', 'DL21', 'DL22', 'DL23', 'IA002', 'IDGL', 'UD02', 'UD07', 'UD10']","[6.186, 2.815, 2.965, 2.625, 1.344, 18.915, 1.234, 10.073, 10.977, 9.815]",5
dias2013mnyu,54.9011,-6.278509,2013-06-28 09:43:33.585,1.08,"['DL12', 'GAL1', 'IDGL', 'IOMK', 'UD06', 'UD07']","[14.422, 17.238, 13.701, 21.985, 22.148, 22.529]",5
dias2013moex,54.9783,-7.890135,2013-06-28 12:48:44.228,0.89,"['DL23', 'IA009', 'IDGL', 'UD04', 'UD07', 'UD10']","[5.366, 23.76, 4.306, 4.949, 5.41, 4.35]",5
dias2013mogj,53.3019,-6.403263,2013-06-28 13:33:22.456,1.56,['IA007'],[23.746],5
dias2013mtno,54.5246,-8.088243,2013-07-01 10:51:19.764,0.76,"['CLGH', 'DL21', 'IA010', 'IA011', 'IGLA', 'UCRUI', 'UD06', 'UD07']","[22.95, 11.209, 19.943, 9.337, 25.016, 9.161, 5.183, 6.411]",5
dias2013mtqd,55.0721,-7.820291,2013-07-01 12:10:01.416,0.57,"['D34', 'DL12', 'DL21', 'IDGL', 'UD03', 'UD07']","[1.637, 3.654, 1.478, 3.189, 5.301, 7.053]",5
dias2013mvic,54.6798,-6.019892,2013-07-02 10:23:09.301,1.21,"['CLGH', 'DL31', 'IOMK', 'UD03']","[8.069, 16.451, 17.81, 23.622]",5
dias2013mvlv,54.3797,-7.378597,2013-07-02 12:15:38.149,1.34,"['DSB', 'IA003', 'IA010', 'UD10', 'USLID']","[23.955, 24.713, 13.953, 12.438, 24.486]",5
dias2013mxgm,51.8504,-8.805961,2013-07-03 11:50:28.318,1.0,"['IAD01', 'IAP07', 'IGLA', 'IWEX']","[19.228, 9.083, 29.019, 24.852]",5
dias2013mxhe,54.8313,-6.050479,2013-07-03 12:10:51.362,1.17,"['DL24', 'IDGL', 'UD03']","[18.021, 16.57, 22.749]",4
dias2013mxhz,54.5191,-7.642142,2013-07-03 12:35:11.289,0.83,['DL23'],[12.607],4
dias2013mxiu,53.6828,-6.397679,2013-07-03 12:59:47.538,1.15,"['CLGH', 'IAD18', 'UD01']","[25.352, 20.679, 29.134]",5
dias2013mzmj,52.8744,-8.698416,2013-07-04 17:04:08.781,1.42,['IAP07'],[26.122],5
dias2013naun,53.5671,-9.165085,2013-07-05 10:19:38.341,1.49,"['IA002', 'IA003', 'IA004', 'IA006', 'IA009', 'IA013', 'IAD23', 'IGLA', 'UCAR1', 'UCAR2', 'UCAR3', 'UD01', 'UD02', 'UD03', 'UD04', 'UD07', 'UD10']","[16.448, 16.943, 9.348, 21.464, 6.237, 24.104, 21.662, 3.832, 8.891, 9.35, 9.371, 26.084, 25.985, 26.381, 26.117, 25.127, 25.358]",5
dias2013naxx,54.1099,-7.241805,2013-07-05 12:02:43.089,1.22,"['DL21', 'IA003', 'IA004', 'IA010', 'IAD01', 'IAD33', 'UD02', 'UD03', 'UD06', 'UD07', 'UHELL', 'UMOLE']","[18.98, 21.126, 24.802, 8.688, 33.591, 1.403, 18.196, 17.966, 17.162, 17.736, 20.184, 20.379]",5
dias2013nbav,53.3019,-6.403263,2013-07-05 13:31:22.949,1.71,"['DSB', 'IAD18', 'UBALL', 'UCD11', 'UMOLE']","[0.805, 21.759, 1.67, 1.905, 1.434]",5
dias2013ngib,54.6171,-6.758108,2013-07-08 10:50:42.974,1.18,"['IA009', 'UCRUI']","[27.448, 18.734]",5
dias2013nidw,52.5688,-7.722019,2013-07-09 11:00:25.680,1.04,"['IA010', 'IAD18', 'IGLA', 'UCAR3']","[21.932, 20.933, 24.234, 27.404]",3
dias2013niim,53.9016,-6.731963,2013-07-09 13:19:56.367,1.27,"['DSB', 'GAL1', 'IA002', 'IA009', 'IA012', 'IAD01', 'IAD33', 'IGLA', 'IOMK', 'UBALL', 'UCAR3', 'UCREE', 'UD02', 'UD03', 'UD04', 'UD06', 'UD07', 'UD09', 'UD10', 'UHELL']","[13.227, 27.038, 21.435, 24.562, 21.826, 34.187, 7.929, 29.709, 24.128, 13.401, 35.523, 14.313, 24.302, 24.364, 25.344, 23.235, 24.128, 22.931, 22.869, 13.575]",5
dias2013nkdl,53.4531,-8.149778,2013-07-10 13:03:29.775,1.37,"['D34', 'IA003', 'IA006', 'IA009', 'IA012', 'IAD01', 'IAD23', 'UBALL', 'UCAR1', 'UD03', 'UD04', 'UHELL', 'UMOLE']","[28.651, 7.436, 18.721, 11.996, 22.15, 18.44, 14.53, 22.297, 19.589, 26.306, 26.87, 21.819, 21.636]",4
dias2013nlvt,54.2689,-7.420641,2013-07-11 11:27:08.648,0.94,"['DL21', 'IDGL', 'IGLA', 'UCRUI', 'UD03']","[15.487, 15.071, 26.638, 16.797, 14.594]",5
dias2013nmau,53.4044,-6.332346,2013-07-11 13:59:21.050,1.16,"['IA009', 'IDGL', 'UD06']","[28.984, 31.653, 31.392]",5
dias2013nnqi,53.3041,-8.857801,2013-07-12 10:58:27.139,1.25,"['IA001', 'IA006', 'IAD01', 'UBRO', 'UCAR1', 'UCAR2', 'UCAR3', 'UD06', 'UD07']","[21.047, 16.449, 11.138, 20.984, 10.731, 11.241, 11.348, 27.201, 28.109]",5
dias2013nnqy,53.7905,-8.023192,2013-07-12 11:17:54.151,1.17,"['IA004', 'IA006', 'IWEX', 'UCAR3', 'UD02', 'UD03', 'UD04', 'UD10', 'UHELL', 'UMOLE']","[15.192, 24.798, 29.713, 22.609, 20.598, 20.911, 21.313, 19.615, 22.386, 22.162]",3
dias2013nnvj,52.7167,-7.683089,2013-07-12 13:31:10.930,1.15,"['IAD01', 'IAD18', 'UCAR3', 'UHELL']","[19.198, 18.466, 26.74, 19.254]",5
dias2013ntey,54.2381,-6.582737,2013-07-15 12:03:02.497,1.46,"['IA012', 'IA013', 'IWEX', 'UBALL', 'UD09', 'UD10', 'UHELL']","[27.313, 22.069, 33.678, 18.497, 19.875, 21.084, 19.312]",5
dias2013nuxh,54.144379,-7.598981,2013-07-16 10:27:26.156,1.01,"['DL12', 'DL21', 'DL24', 'IAD18', 'IGLA', 'UD01']","[19.501, 17.464, 19.484, 12.391, 23.647, 14.954]",5
dias2013nuza,54.2348,-8.458838,2013-07-16 11:19:06.324,1.22,"['DL12', 'DL22', 'DL23', 'DL24', 'IA001', 'IA004', 'IA010', 'IA011', 'IAD18', 'UCAR2', 'UCAR3', 'UD02', 'UD03', 'UD07', 'UD09']","[20.667, 19.401, 20.381, 20.259, 17.646, 21.402, 19.302, 15.217, 11.878, 23.035, 23.524, 12.333, 13.365, 11.666, 13.218]",5
dias2013nvav,54.3701,-7.692768,2013-07-16 12:13:49.014,1.54,"['IA006', 'IA012', 'IAD23', 'IDGL', 'UBRO', 'UCREE', 'UD06']","[34.434, 31.576, 30.147, 13.614, 23.983, 26.637, 10.226]",5
dias2013nwta,53.2237,-6.926918,2013-07-17 10:34:31.571,1.31,"['IA002', 'IA009', 'IA012', 'IDGL', 'IWEX', 'UCAR1', 'UCAR3', 'UCREE', 'UD07', 'UMOLE']","[26.898, 25.331, 9.38, 33.657, 15.892, 32.009, 32.792, 7.072, 32.38, 6.365]",5
dias2013nwus,54.3006,-8.134161,2013-07-17 11:24:58.627,1.35,"['DL21', 'IA004', 'IDGL', 'UCAR3', 'UD01', 'UD02', 'UD07', 'UD09', 'UD10']","[15.666, 23.704, 16.243, 26.493, 11.006, 11.008, 10.359, 11.091, 9.895]",5
